customer_id,age,tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,num_support_calls,satisfaction_score,signup_date,churned
1641,40,37,80.22,2968.14,Month-to-month,Electronic check,DSL,3,4.0,2018-03-25,0
25699,18,20,71.93,1438.6,One year,Credit card,No,2,4.0,2021-08-06,0
32225,62,16,96.03,1536.48,One year,Bank transfer,Fiber optic,1,2.0,2022-07-06,0
32075,32,4,82.25,329.0,Two year,Credit card,DSL,1,4.0,2022-06-28,0
48566,26,12,64.27,771.24,Month-to-month,Bank transfer,Fiber optic,4,5.0,2024-10-18,0
49657,41,2,71.48,142.96,One year,Credit card,DSL,0,3.0,2024-12-13,0
4690,32,4,39.97,159.88,Two year,Credit card,Fiber optic,1,5.0,2018-08-28,0
17352,46,18,88.01,1584.18,One year,Bank transfer,Fiber optic,1,4.0,2020-06-06,0
42011,38,4,53.69,214.76,,Mailed check,No,3,2.0,2023-11-18,0
13308,18,1,99.78,99.78,Month-to-month,Credit card,DSL,2,4.0,2019-11-12,1
10762,46,12,105.21,1262.52,One year,Electronic check,DSL,2,4.0,2019-07-05,0
36810,43,2,10.0,20.0,Month-to-month,Credit card,Fiber optic,3,3.0,2023-02-25,0
12515,37,120,57.22,6866.4,Month-to-month,Credit card,DSL,5,5.0,2019-10-02,1
32172,38,38,84.81,3222.78,Month-to-month,Credit card,DSL,3,3.0,2022-07-03,0
26771,48,11,103.18,1134.98,Two year,Mailed check,No,0,4.0,2021-09-30,0
21959,25,48,45.7,2193.6,Month-to-month,Bank transfer,Fiber optic,3,2.0,2021-01-27,0
20407,36,29,65.65,1903.85,One year,Bank transfer,Fiber optic,3,4.0,2020-11-09,0
25509,32,20,103.49,2069.8,Month-to-month,Electronic check,DSL,1,3.0,2021-07-27,0
44961,29,23,31.83,732.09,One year,Credit card,Fiber optic,2,1.0,2024-04-17,0
11077,31,41,59.38,2434.58,Two year,Credit card,Fiber optic,1,1.0,2019-07-21,0
37106,34,24,125.89,3021.36,Month-to-month,Credit card,Fiber optic,4,4.0,2023-03-12,0
11730,47,13,75.24,978.12,Month-to-month,Credit card,No,1,3.0,2019-08-23,0
20319,22,16,56.13,898.08,One year,Electronic check,No,1,3.0,2020-11-04,0
14742,58,4,79.51,318.04,One year,Bank transfer,No,2,3.0,2020-01-24,0
40759,39,17,71.69,1218.73,Month-to-month,Mailed check,DSL,3,3.0,2023-09-15,0
47219,50,14,65.92,922.88,Two year,Credit card,DSL,1,3.0,2024-08-10,0
38399,41,3,,189.6,Month-to-month,Bank transfer,DSL,5,3.0,2023-05-17,0
28577,48,30,68.57,2057.1,Two year,Credit card,DSL,3,3.0,2021-12-31,0
32604,45,5,54.69,273.45,One year,Mailed check,Fiber optic,2,5.0,2022-07-25,0
16054,32,29,93.62,2714.98,Month-to-month,Electronic check,Fiber optic,1,2.0,2020-03-31,1
29502,38,45,56.4,2538.0,One year,Bank transfer,Fiber optic,5,2.0,2022-02-17,0
36723,49,24,106.34,2552.16,Month-to-month,Bank transfer,Fiber optic,3,3.0,2023-02-21,0
27075,39,55,125.38,6895.9,Month-to-month,Electronic check,No,1,4.0,2021-10-16,0
6233,37,6,101.21,607.26,Two year,Bank transfer,No,0,3.0,2018-11-15,0
36218,18,22,135.64,2984.08,Two year,Bank transfer,Fiber optic,0,5.0,2023-01-26,0
20883,67,2,67.85,135.7,,Bank transfer,No,1,4.0,2020-12-03,0
31497,38,31,72.1,2235.1,Month-to-month,Electronic check,DSL,3,4.0,2022-05-30,0
26602,54,10,53.46,534.6,,Credit card,No,5,3.0,2021-09-21,0
41454,26,19,33.96,645.24,Two year,Credit card,DSL,1,3.0,2023-10-21,0
15648,32,15,40.68,610.2,One year,Credit card,DSL,2,3.0,2020-03-10,0
23812,26,28,96.58,2704.24,One year,Credit card,Fiber optic,2,3.0,2021-05-02,0
25894,42,14,79.16,1108.24,,Electronic check,DSL,0,4.0,2021-08-16,1
29834,28,22,112.71,2479.62,Month-to-month,Electronic check,DSL,2,3.0,2022-03-06,0
41955,34,18,78.94,1420.92,,Electronic check,No,3,4.0,2023-11-15,0
25951,23,5,90.63,453.15,Month-to-month,Electronic check,DSL,3,4.0,2021-08-19,0
26713,38,101,88.59,8947.59,One year,Credit card,DSL,1,4.0,2021-09-27,0
38392,18,50,62.48,3124.0,Two year,Bank transfer,Fiber optic,3,4.0,2023-05-17,0
24614,53,19,,1890.69,Two year,Mailed check,Fiber optic,3,4.0,2021-06-12,0
31707,47,1,36.86,36.86,One year,Mailed check,DSL,2,4.0,2022-06-09,0
1004,30,38,140.31,5331.78,Two year,Electronic check,Fiber optic,1,4.0,2018-02-21,0
3864,36,42,74.48,3128.16,Month-to-month,Bank transfer,Fiber optic,1,5.0,2018-07-17,0
32841,54,45,51.11,2299.95,Month-to-month,Credit card,Fiber optic,2,5.0,2022-08-06,0
11282,34,3,10.0,30.0,Month-to-month,Electronic check,Fiber optic,1,2.0,2019-07-31,0
11073,23,15,118.22,1773.3,One year,Electronic check,Fiber optic,1,2.0,2019-07-21,0
6393,18,26,72.86,1894.36,Month-to-month,Credit card,Fiber optic,2,4.0,2018-11-23,0
40201,43,48,104.76,5028.48,Two year,Electronic check,Fiber optic,1,4.0,2023-08-18,0
42336,68,66,61.28,4044.48,Two year,Bank transfer,No,2,2.0,2023-12-05,0
8972,62,13,104.96,1364.48,Month-to-month,Bank transfer,No,3,3.0,2019-04-04,0
29916,73,22,30.74,676.28,Month-to-month,Credit card,DSL,1,5.0,2022-03-10,0
999,31,10,17.77,177.7,,Credit card,Fiber optic,1,3.0,2018-02-21,0
38824,28,7,54.97,384.79,Two year,Electronic check,Fiber optic,1,2.0,2023-06-08,1
26932,45,14,98.71,1381.94,One year,Bank transfer,Fiber optic,2,3.0,2021-10-08,0
40091,36,3,41.76,125.28,Month-to-month,Bank transfer,Fiber optic,2,4.0,2023-08-12,0
29861,74,65,122.9,7988.5,,Credit card,DSL,1,5.0,2022-03-07,0
46145,54,43,39.51,1698.93,Month-to-month,Credit card,Fiber optic,0,5.0,2024-06-16,0
16398,54,70,62.64,4384.8,One year,Mailed check,DSL,1,4.0,2020-04-18,0
27858,46,1,83.96,83.96,Month-to-month,Electronic check,No,3,2.0,2021-11-25,0
36128,34,7,78.97,552.79,One year,Mailed check,Fiber optic,4,3.0,2023-01-21,0
31725,29,58,87.13,5053.54,Month-to-month,Electronic check,DSL,0,5.0,2022-06-10,0
36850,62,9,73.83,664.47,Month-to-month,Credit card,No,2,2.0,2023-02-27,0
17161,58,6,10.0,60.0,,Mailed check,Fiber optic,2,4.0,2020-05-27,0
29187,75,38,48.92,1858.96,One year,Mailed check,No,2,2.0,2022-02-01,0
48535,22,0,23.36,0.0,,Credit card,Fiber optic,1,2.0,2024-10-17,0
45636,67,6,64.18,385.08,Two year,Bank transfer,Fiber optic,0,4.0,2024-05-21,0
27626,29,8,113.78,910.24,One year,Bank transfer,DSL,2,5.0,2021-11-13,0
47647,46,31,39.52,1225.12,One year,Credit card,DSL,1,4.0,2024-09-01,0
9367,35,10,64.75,647.5,Month-to-month,Credit card,Fiber optic,2,3.0,2019-04-24,0
6716,46,4,76.78,307.12,Month-to-month,Credit card,Fiber optic,1,,2018-12-10,0
18918,39,6,84.15,504.9,Month-to-month,Bank transfer,Fiber optic,0,4.0,2020-08-25,0
38842,41,3,46.06,138.18,Two year,Bank transfer,No,4,5.0,2023-06-09,0
49180,38,30,52.85,1585.5,Month-to-month,Credit card,DSL,2,3.0,2024-11-19,1
19680,71,4,77.79,311.16,Month-to-month,Mailed check,Fiber optic,1,4.0,2020-10-03,0
19535,24,7,95.1,665.7,One year,Credit card,DSL,0,4.0,2020-09-25,0
39252,39,15,37.35,560.25,Two year,Credit card,DSL,5,3.0,2023-06-30,0
34301,40,120,75.85,9102.0,Month-to-month,Electronic check,Fiber optic,2,1.0,2022-10-20,0
45275,65,42,85.68,3598.56,One year,Bank transfer,Fiber optic,1,2.0,2024-05-03,0
4983,44,8,56.8,454.4,Two year,Bank transfer,Fiber optic,2,3.0,2018-09-12,0
27047,18,72,70.49,5075.28,One year,Electronic check,No,3,3.0,2021-10-14,0
47697,42,1,33.08,33.08,One year,Credit card,DSL,2,4.0,2024-09-04,0
46224,66,71,54.44,3865.24,Two year,Electronic check,No,3,4.0,2024-06-20,0
47536,26,3,,289.59,,Bank transfer,Fiber optic,0,3.0,2024-08-27,1
